video_path,prompt,clip_score
/content/drive/MyDrive/outputs/A woman skateboarder performing tricks at a skate park from left to right_1.gif,A woman skateboarder performing tricks at a skate park from left to right_1,0.31
/content/drive/MyDrive/outputs/A black dog walking on the grass moving from left to right.gif,A black dog walking on the grass moving from left to right,0.33
/content/drive/MyDrive/outputs/A dog walking on the ground from left to right.gif,A dog walking on the ground from left to right,0.31
/content/drive/MyDrive/outputs/A lionwalking on the ground from left to right.gif,A lionwalking on the ground from left to right,0.32
/content/drive/MyDrive/outputs/A lion walking on the ground from left to right.gif,A lion walking on the ground from left to right,0.33
/content/drive/MyDrive/outputs/A rabbit walking on the ground from left to right.gif,A rabbit walking on the ground from left to right,0.33
/content/drive/MyDrive/outputs/A skateboarder performing tricks at a skate park from left to right.gif,A skateboarder performing tricks at a skate park from left to right,0.34
/content/drive/MyDrive/outputs/A women performing tricks at a skate park from left to right.gif,A women performing tricks at a skate park from left to right,0.29
/content/drive/MyDrive/outputs/A zebra walking on the ground from left to right.gif,A zebra walking on the ground from left to right,0.34
/content/drive/MyDrive/outputs/a lion outside the cave.gif,a lion outside the cave,0.32
/content/drive/MyDrive/outputs/A yellow bus moving on the empty road from left to right.gif,A yellow bus moving on the empty road from left to right,0.27
/content/drive/MyDrive/outputs/A yellow A jeep moving on an empty road from left to right.gif,A yellow A jeep moving on an empty road from left to right,0.3
/content/drive/MyDrive/outputs/A fish diving underwater in search of food from right to left.gif,A fish diving underwater in search of food from right to left,0.3
/content/drive/MyDrive/outputs/A red A jeep moving on an empty road from left to right.gif,A red A jeep moving on an empty road from left to right,0.33
/content/drive/MyDrive/outputs/a puppy is eating a watermelon.gif,a puppy is eating a watermelon,0.35
/content/drive/MyDrive/outputs/a tiger is eating a watermelon.gif,a tiger is eating a watermelon,0.38
/content/drive/MyDrive/outputs/A turtle diving underwater in search of food from right to left.gif,A turtle diving underwater in search of food from right to left,0.29
/content/drive/MyDrive/outputs/An octopus diving underwater in search of food from right to left.gif,An octopus diving underwater in search of food from right to left,0.27
/content/drive/MyDrive/outputs/An elephant galloping on a ground.gif,An elephant galloping on a ground,0.32
/content/drive/MyDrive/outputs/A zebra galloping on a ground.gif,A zebra galloping on a ground,0.36
/content/drive/MyDrive/outputs/A tiger galloping on a ground.gif,A tiger galloping on a ground,0.34
/content/drive/MyDrive/outputs/iron man is surfing.gif,iron man is surfing,0.35
"/content/drive/MyDrive/outputs/a raccoon is surfing, cartoon style.gif","a raccoon is surfing, cartoon style",0.39
"/content/drive/MyDrive/outputs/a boy, wearing a birthday hat, is surfing.gif","a boy, wearing a birthday hat, is surfing",0.36
